Distance_km,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7
0,0.02716375,0.03584,0.05103375000000002,0.03511125,0.07647125000000002,0.058005,0.02735625
50,0.034684999999999994,0.05234,0.08099499999999998,0.05676749999999997,0.050387499999999974,0.0382875,0.026077500000000003
100,0.038425,0.05326124999999998,0.07944125000000002,0.057303750000000014,0.041793750000000005,0.02251625,0.016424999999999995
150,0.05091000000000001,0.056520000000000015,0.08000499999999999,0.07794250000000003,0.2183025,0.22735,0.14440999999999998
200,0.07190625,0.08808999999999997,0.12803375,0.13875875000000001,0.2241325,0.25392875,0.17607625
250,0.04490124999999999,0.05565375,0.08190250000000002,0.08149,0.22898625,0.17170375000000002,0.10976
300,0.04722499999999999,0.0630925,0.09447,0.10128999999999999,0.182305,0.168445,0.11619499999999999
350,0.05759249999999999,0.07517874999999999,0.11185,0.11697874999999999,0.2011425,0.21348999999999999,0.17890875
400,0.05071749999999997,0.07032499999999997,0.10890749999999999,0.10043750000000001,0.08099499999999998,0.046729999999999994,0.03339249999999999
450,0.07732375000000002,0.08560125000000002,0.1167725,0.11851875,0.2331525,0.2486075,0.19719625
500,0.044584999999999986,0.05753750000000002,0.09191250000000001,0.09061999999999998,0.2690675,0.20925500000000002,0.12296000000000001
550,0.0598475,0.07108124999999998,0.10843999999999998,0.10278874999999998,0.247315,0.21096,0.14791625
600,0.10054750000000001,0.11284,0.1482875,0.16322,0.27251875000000003,0.34962875,0.28732749999999996
650,0.08682499999999999,0.1047825,0.14369500000000002,0.1531,0.26909500000000003,0.306,0.252705
700,0.047609999999999986,0.067245,0.10722999999999999,0.1024175,0.2670325,0.1711125,0.10887999999999998
750,0.054705000000000004,0.070655,0.11124499999999998,0.10773875000000002,0.08062375,0.042838749999999995,0.028511250000000002
800,0.09500624999999999,0.11351375,0.15648250000000002,0.16625874999999998,0.25216875,0.28527875,0.24903375
850,0.0623225,0.07785999999999998,0.10943000000000003,0.115425,0.27091,0.188025,0.1366
900,0.0402125,0.05223,0.08501,0.070875,0.07695250000000001,0.05298625000000001,0.04050125
950,0.040267499999999984,0.05102000000000001,0.08006000000000002,0.06350499999999998,0.07062750000000001,0.03993749999999999,0.030175000000000007
1000,0.0442275,0.059819999999999984,0.10615750000000002,0.09556999999999999,0.09774250000000001,0.046125,0.033172499999999994
1050,0.06720374999999998,0.08716874999999999,0.13506,0.144355,0.15319624999999998,0.10086375,0.08243874999999998
1100,0.04480500000000001,0.054017499999999996,0.07948250000000001,0.0693625,0.06983,0.032649999999999985,0.022144999999999998
1150,0.038122500000000004,0.05005749999999998,0.07876749999999999,0.067905,0.05434749999999999,0.030862499999999987,0.020852499999999996
1200,0.038851250000000004,0.05408625,0.0904275,0.07186500000000001,0.06160750000000001,0.034258750000000004,0.021979999999999986
1250,0.029404999999999987,0.040102499999999985,0.0783275,0.053495000000000015,0.08041749999999998,0.04816000000000001,0.0343
1300,0.13398749999999998,0.16005750000000002,0.2160475,0.246875,0.31295750000000006,0.372165,0.35222749999999997
1350,0.14397,0.16756500000000002,0.21855000000000002,0.25122,0.31122500000000003,0.37923250000000003,0.36003749999999995
1400,0.14122,0.16513125,0.22367875,0.25716,0.31449750000000004,0.38742750000000004,0.36584
1450,0.03666499999999999,0.044805,0.07132875,0.05207875000000001,0.052294166666666655,0.024574166666666664,0.016892499999999994
1500,0.049947500000000006,0.0599575,0.08467999999999998,0.06933499999999998,0.0569325,0.03325500000000001,0.01942250000000001
1550,0.034135,0.05473250000000002,0.08522999999999997,0.07153500000000002,0.055475,0.034519999999999995,0.024675000000000002
1600,0.041835,0.06217125000000001,0.100135,0.0869075,0.06564999999999999,0.035826250000000004,0.027438749999999998
1650,0.05308249999999998,0.07084750000000001,0.10901749999999999,0.11014499999999999,0.261065,0.1881625,0.14342
1700,0.03700874999999999,0.05327499999999999,0.09220125000000001,0.07608625,0.055021249999999994,0.025169999999999998,0.017153749999999995
1750,0.16299999999999998,0.18986750000000002,0.24308000000000002,0.271955,0.3193375,0.38899500000000004,0.37461249999999996
1800,0.057455000000000006,0.06940374999999999,0.10093250000000001,0.08351125000000001,0.05462250000000002,0.025857500000000005,0.015916249999999993
1850,0.05103375000000002,0.06871625,0.10822000000000001,0.09427750000000001,0.06200625000000001,0.020962499999999995,0.01405999999999999
1900,0.08701750000000003,0.10459000000000002,0.14375,0.1552175,0.2385425,0.2812775,0.24489500000000003
1950,0.060755,0.08474874999999998,0.13001375,0.12701625,0.09723375000000001,0.05891249999999999,0.0463725
2000,0.05060749999999997,0.059655000000000014,0.09933750000000002,0.07796999999999998,0.05104750000000002,0.02506,0.01713999999999999
2050,0.09019374999999999,0.11264750000000001,0.16014,0.16686375,0.2080175,0.24499125000000002,0.22197375
2100,0.03933249999999999,0.05564000000000002,0.08949249999999997,0.07224999999999998,0.06559500000000001,0.030230000000000007,0.019587500000000008
2150,0.03849374999999999,0.05430625,0.09475875,0.0686475,0.05851375,0.023533750000000006,0.014829999999999996
2200,0.03814999999999999,0.054925,0.09523999999999999,0.07555,0.0717275,0.03204499999999999,0.01983499999999999
2250,0.03944249999999999,0.05613499999999999,0.09488249999999998,0.0774475,0.07390000000000002,0.03130250000000001,0.020549999999999985
2300,0.023973750000000002,0.03528999999999999,0.06900500000000001,0.054498749999999985,0.14797125,0.06196499999999999,0.03311750000000001
2350,0.049534999999999996,0.06405499999999997,0.10139999999999999,0.08267249999999998,0.0723875,0.028717500000000007,0.015875
2400,0.04839375,0.06376625,0.10243125,0.08897,0.09023499999999998,0.05463625,0.03794375
2450,0.04006124999999999,0.05796375000000001,0.10058874999999998,0.0844875,0.06666749999999999,0.026036249999999997,0.01630124999999999
2500,0.05298625000000001,0.06972,0.10113875,0.09381,0.05958625000000001,0.022653749999999986,0.01392249999999999
2550,0.053824999999999984,0.07310250000000001,0.115975,0.10816500000000001,0.06340875000000001,0.0249775,0.014458749999999992
2600,0.06889499999999998,0.08872249999999998,0.132035,0.13440000000000002,0.08011499999999999,0.024317499999999992,0.014279999999999987
2650,0.056684999999999985,0.079785,0.12554500000000002,0.115755,0.05382500000000001,0.020852499999999996,0.013207499999999983
