Distance_k,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,Longitude,Latitude
0,0.011364999999999986,0.016699999999999993,0.03683,0.02396000000000001,0.2757775,0.12505,0.05445749999999999,75.71032655594271,13.366796680405862
50,0.015861249999999993,0.025995000000000004,0.05896749999999998,0.05111625,0.1918475,0.14560625,0.08813125,75.95880056353018,13.062267799089346
100,0.027287499999999992,0.0382875,0.07167249999999997,0.07807999999999998,0.259195,0.2403575,0.15524500000000002,76.11861085257505,12.81864469403613
150,0.02273625,0.03409374999999999,0.06862000000000001,0.07090250000000001,0.25667875,0.19920375,0.115975,76.33124208032613,12.793042708438724
200,0.018886249999999986,0.029863333333333325,0.06899125,0.054223750000000015,0.12003583333333333,0.08021125000000001,0.04857249999999999,76.44874171948896,12.538639819976076
250,0.0233275,0.03809499999999999,0.07774999999999999,0.0745325,0.28983000000000003,0.18280000000000002,0.11839499999999997,76.77698612430623,12.402275559846732
300,0.025747499999999993,0.032375,0.06541624999999998,0.0566575,0.2925525,0.15800875,0.08054125000000001,77.01144641346143,12.190722310436586
350,0.013427499999999995,0.020096249999999996,0.0442,0.032278749999999995,0.2048275,0.10255500000000001,0.056217500000000004,77.29091229835102,12.302023574138994
400,0.029239999999999988,0.035674999999999985,0.06166250000000001,0.06603500000000001,0.20323249999999998,0.19677,0.1224925,77.61403630604882,12.206352996380264
450,0.014499999999999999,0.025513749999999988,0.058967500000000006,0.03909875,0.05023624999999998,0.03779249999999999,0.029528749999999993,77.69380670327863,11.943865270360542
500,0.012959999999999985,0.021801249999999994,0.05408625,0.038466249999999994,0.219815,0.11246875,0.05796375000000001,77.75201753368957,11.631251551486947
550,0.012987499999999985,0.020027500000000004,0.0413675,0.026269999999999988,0.09064749999999999,0.033062499999999995,0.01843249999999999,77.79783161317967,11.281447579850806
600,0.045685,0.06005375000000002,0.10251374999999999,0.10661124999999999,0.26237125000000006,0.21760125,0.14797125,78.04495814784094,11.084177543458159
650,0.04974125,0.06813875,0.11739125,0.14230625000000002,0.24922625,0.25610125,0.19447375000000003,78.38991121694283,10.956167615471127
700,0.06956875000000001,0.08854375,0.1466375,0.17454999999999998,0.27172125,0.30496875,0.24900624999999998,78.77690544134153,10.84810028679155
750,0.031962500000000005,0.0476925,0.0962575,0.10431499999999999,0.15596,0.14369500000000002,0.10706500000000002,79.15581482818314,10.943501369965041
800,0.10065750000000001,0.1194675,0.18717250000000002,0.235765,0.33853249999999996,0.4016175,0.347415,79.48298125465948,11.168798843222218
850,0.023451249999999993,0.031206250000000005,0.05539250000000001,0.03662375,0.049507499999999996,0.03170125,0.02096250000000001,79.77834732007797,11.384125016825667
900,0.035633750000000006,0.04767874999999999,0.07029750000000001,0.051996249999999994,0.03317250000000001,0.02133375,0.01616374999999999,79.81445959449958,11.36445191210345
